ID,Prediction
182639.jpg,0
182640.jpg,2
182642.jpg,0
182643.jpg,0
182644.jpg,0
182646.jpg,0
182647.jpg,0
182649.jpg,0
182650.jpg,2
182654.jpg,1
182655.jpg,2
182656.jpg,0
182657.jpg,1
182662.jpg,2
182664.jpg,2
182666.jpg,3
182668.jpg,1
182670.jpg,0
182671.jpg,0
182674.jpg,0
182675.jpg,0
182680.jpg,3
182681.jpg,2
182682.jpg,0
182683.jpg,1
182684.jpg,1
182686.jpg,0
182690.jpg,1
182691.jpg,1
182694.jpg,0
182695.jpg,1
182697.jpg,0
182700.jpg,0
182701.jpg,2
182705.jpg,1
182706.jpg,0
182708.jpg,2
182709.jpg,2
182710.jpg,0
182711.jpg,2
182713.jpg,2
182714.jpg,3
182715.jpg,2
182716.jpg,2
182717.jpg,0
182718.jpg,1
182719.jpg,0
182720.jpg,0
182721.jpg,0
182722.jpg,1
182724.jpg,2
182728.jpg,0
182729.jpg,0
182730.jpg,1
182732.jpg,0
182734.jpg,0
182736.jpg,0
182737.jpg,0
182738.jpg,0
182739.jpg,2
182745.jpg,0
182748.jpg,2
182749.jpg,0
182750.jpg,1
182751.jpg,0
182753.jpg,0
182754.jpg,2
182757.jpg,0
182760.jpg,2
182761.jpg,0
182762.jpg,1
182763.jpg,1
182765.jpg,2
182768.jpg,0
182771.jpg,0
182772.jpg,0
182773.jpg,0
182775.jpg,1
182776.jpg,0
182777.jpg,2
182778.jpg,2
182779.jpg,0
182782.jpg,3
182783.jpg,2
182784.jpg,2
182787.jpg,0
182789.jpg,0
182790.jpg,2
182791.jpg,0
182795.jpg,0
182796.jpg,2
182798.jpg,2
182800.jpg,3
182801.jpg,3
182803.jpg,2
182804.jpg,2
182805.jpg,1
182806.jpg,0
182809.jpg,1
182811.jpg,0
182813.jpg,2
182814.jpg,0
182815.jpg,2
182819.jpg,0
182821.jpg,0
182822.jpg,0
182823.jpg,2
182824.jpg,2
182825.jpg,2
182826.jpg,0
182827.jpg,2
182829.jpg,0
182831.jpg,0
182832.jpg,0
182833.jpg,0
182834.jpg,0
182836.jpg,2
182837.jpg,1
182838.jpg,0
182839.jpg,0
182841.jpg,1
182842.jpg,2
182845.jpg,1
182846.jpg,2
182847.jpg,0
182848.jpg,2
182849.jpg,1
182850.jpg,2
182851.jpg,2
182852.jpg,2
182853.jpg,2
182854.jpg,1
182857.jpg,2
182859.jpg,1
182860.jpg,2
182861.jpg,0
182862.jpg,1
182863.jpg,2
182866.jpg,0
182868.jpg,0
182870.jpg,2
182872.jpg,2
182875.jpg,2
182876.jpg,2
182878.jpg,0
182879.jpg,0
182880.jpg,0
182882.jpg,0
182884.jpg,1
182885.jpg,3
182886.jpg,2
182887.jpg,1
182888.jpg,0
182889.jpg,0
182890.jpg,0
182891.jpg,1
182892.jpg,0
182893.jpg,0
182894.jpg,2
182897.jpg,0
182898.jpg,2
182900.jpg,1
182901.jpg,2
182902.jpg,1
182903.jpg,0
182904.jpg,0
182905.jpg,1
182907.jpg,1
182908.jpg,0
182909.jpg,2
182910.jpg,2
182911.jpg,0
182914.jpg,0
182915.jpg,3
182916.jpg,0
182917.jpg,0
182918.jpg,0
182919.jpg,0
182920.jpg,2
182922.jpg,0
182923.jpg,2
182924.jpg,0
182925.jpg,0
182927.jpg,0
182928.jpg,2
182929.jpg,0
182932.jpg,2
182933.jpg,1
182934.jpg,2
182935.jpg,0
182936.jpg,1
182937.jpg,0
182938.jpg,2
182939.jpg,1
182940.jpg,0
182944.jpg,2
182945.jpg,2
182946.jpg,1
182947.jpg,0
